100	500	200	100	0.8	0.5	40	20	40	20	100	400	300	0.65
125	550	250	100	1	0.6	45	25	45	25	100	400	302	0.64
150	600	300	100	1.2	0.7	50	30	50	30	100	400	304	0.63
200	650	350	100	1.5	0.8	55	35	55	35	100	400	306	0.62
300	700	400	100	2	0.9	60	40	60	40	100	400	308	0.61
400	750	500	110	2.1	1	70	45	70	45	100	400	310	0.6
500	775	520	110	2.2	1.2	75	50	75	50	100	400	310.5	0.595
600	800	540	110	2.3	1.4	80	52.5	80	52.5	100	400	311	0.59
700	825	560	110	2.4	1.6	85	55	85	55	100	400	311.5	0.585
800	850	580	120	2.5	1.8	90	57.5	90	57.5	100	400	312	0.58
900	875	600	120	2.6	2	95	60	95	60	100	400	313	0.575
1000	900	600	120	2.7	2	100	62.5	100	62.5	100	400	314	0.565
1000	925	600	120	2.8	2	105	65	105	65	100	400	315	0.56
1000	950	600	120	2.9	2	110	67.5	110	67.5	100	400	316	0.555
1000	1000	600	130	3	2	115	70	115	70	100	400	317	0.55
1000	1100	600	130	3	2	115	70	115	70	100	400	318	0.5
1000	1200	600	130	3	2	120	75	120	75	100	400	319	0.5
1000	1300	600	130	3	2	120	80	120	80	100	400	320	0.5
1000	1400	600	130	3	2	125	80	125	80	100	400	320	0.5
1000	1500	600	130	3	2	130	90	130	90	100	400	325	0.48
